a_min_b:
-6	12
-5.46626	12
-5.93834	11.312
-6	11.2067
PolyMagic
-5.5301	-12
-6	-12
-6	-11.312
PolyMagic
b_min_a:
-5.46626	12
-4.832	12.9244
-4.82885	12.928
-3.624	14.1869
-3.14514	14.544
-2.416	15.0613
-1.208	15.6049
8.39233e-07	15.8506
1.208	15.8152
2.416	15.4939
3.624	14.8603
4.02824	14.544
4.832	13.8738
5.6628	12.928
6.04	12.445
6.75703	11.312
7.248	10.3872
7.56974	9.696
8.18386	8.08
8.456	7.16038
8.65207	6.464
8.99688	4.848
9.23066	3.232
9.36429	1.616
9.40401	2.28882e-07
9.35181	-1.616
9.2057	-3.232
8.95942	-4.848
8.60211	-6.464
8.456	-6.97339
8.12306	-8.08
7.49846	-9.696
7.248	-10.2324
6.67539	-11.312
6.04	-12.321
5.571	-12.928
4.832	-13.7805
3.93656	-14.544
3.624	-14.7944
2.416	-15.455
1.208	-15.8009
8.39233e-07	-15.8592
-1.208	-15.6349
-2.416	-15.1119
-3.23094	-14.544
-3.624	-14.2559
-4.832	-13.0111
-4.89627	-12.928
-5.5301	-12
6	-12
6	12
PolyMagic
-6	-11.312
-6	-11.312
-6.04	-11.2436
-6.81734	-9.696
-7.248	-8.62322
-7.44863	-8.08
-7.92721	-6.464
-8.27778	-4.848
-8.456	-3.65266
-8.51912	-3.232
-8.66272	-1.616
-8.70724	2.28882e-07
-8.65471	1.616
-8.50292	3.232
-8.456	3.53513
-8.25417	4.848
-7.89521	6.464
-7.40769	8.08
-7.248	8.50826
-6.76752	9.696
-6.04	11.1384
-6	11.2067
PolyMagic
a_and_b:
-5.46626	12
6	12
6	-12
-5.5301	-12
-6	-11.312
-6	11.2067
-5.93834	11.312
PolyMagic
